Fp2-Cz,Fp1-Cz,F8-Cz,F7-Cz,F4-Cz,F3-Cz,A2-Cz,A1-Cz,T4-Cz,T3-Cz,C4-Cz,C3-Cz,T6-Cz,T5-Cz,P4-Cz,P3-Cz,O2-Cz,O1-Cz,Fz-Cz,Cz-Cz,Pz-Cz
9.94,14.34,11.43,-6.24,13.19,-4.80,10.30,6.28,3.22,1.61,5.68,2.37,6.82,9.03,5.52,1.57,8.88,10.94,5.95,0.00,6.35
9.40,14.55,11.68,-6.63,12.97,-5.57,12.47,6.57,3.55,1.25,6.33,1.96,8.86,8.37,6.69,1.54,10.31,11.05,5.55,0.00,7.19
8.92,15.46,11.29,-5.11,12.34,-4.11,13.31,7.46,3.20,1.66,7.29,2.78,10.61,8.90,7.42,1.69,11.38,11.67,4.95,0.00,7.68
8.16,16.51,10.00,-1.03,11.09,-1.59,11.67,7.18,1.20,2.87,7.65,4.15,11.04,9.42,7.81,2.07,11.37,12.19,4.45,0.00,7.53
6.86,16.42,7.66,0.79,9.69,-0.25,9.19,9.10,-0.82,4.59,6.96,5.40,11.43,11.10,8.88,3.30,12.74,13.92,3.84,0.00,7.89
6.16,15.30,6.21,-0.84,9.06,-0.47,7.21,11.07,-2.05,5.80,6.37,5.91,11.02,11.52,9.60,4.12,12.75,15.18,3.22,0.00,8.25
4.56,14.25,4.37,-2.18,8.20,-1.42,5.19,11.11,-2.87,5.33,5.63,5.82,9.62,11.34,9.04,4.10,11.84,15.37,2.61,0.00,8.45
2.72,13.25,1.77,-2.84,7.24,-1.96,3.06,10.18,-4.04,4.62,4.29,5.50,7.55,11.01,7.76,4.12,10.53,14.88,1.97,0.00,8.74
1.41,12.14,0.40,-2.80,6.34,-1.88,2.03,9.89,-5.12,4.67,3.39,5.77,6.34,11.38,6.60,4.38,9.43,14.37,1.81,0.00,8.88
0.03,10.56,-0.39,-3.75,5.37,-2.40,2.62,9.45,-5.20,3.95,2.85,5.47,6.90,12.08,6.23,4.67,10.07,14.61,1.41,0.00,8.71
-0.61,10.21,-0.28,-3.09,5.26,-2.21,4.01,8.65,-4.77,3.53,2.88,5.41,8.08,11.16,6.36,4.84,11.04,13.86,1.54,0.00,8.16
0.09,11.02,1.04,-1.17,5.57,-1.38,3.34,8.41,-4.49,4.28,3.61,5.82,8.02,9.97,6.63,4.78,11.00,13.17,2.16,0.00,7.55
1.50,12.58,2.74,-1.59,6.13,-0.98,2.40,9.11,-3.48,4.81,4.07,5.82,7.69,9.44,6.82,4.73,10.31,12.27,2.88,0.00,7.14
2.64,14.77,3.96,-4.38,6.72,-1.48,2.26,9.77,-2.15,3.38,4.59,4.63,8.32,8.15,6.94,4.29,10.23,11.17,3.22,0.00,6.75
2.39,15.11,4.04,-6.06,6.59,-2.22,2.28,8.07,-0.64,1.39,4.57,3.09,8.86,6.65,6.79,3.40,9.53,10.61,3.33,0.00,6.35
1.79,13.35,3.91,-5.45,6.35,-2.45,2.88,6.05,0.68,0.52,4.81,2.17,9.27,5.20,6.59,2.11,9.11,9.58,3.00,0.00,5.67
1.33,11.16,3.74,-3.82,6.32,-2.03,3.60,3.99,1.89,-0.19,5.13,1.88,9.84,3.92,6.55,1.00,8.97,8.63,2.84,0.00,5.25
1.23,9.97,4.77,-0.17,6.72,-0.64,4.92,0.41,3.60,-1.56,5.80,2.10,10.67,2.23,6.90,-0.40,8.66,7.56,2.78,0.00,5.07
0.12,8.18,5.96,-2.01,6.54,-0.85,7.11,-1.93,5.74,-3.92,6.25,1.18,11.74,0.45,7.65,-1.13,9.16,7.13,1.89,0.00,5.57
-0.58,7.52,6.89,-8.13,6.47,-2.92,9.27,-4.20,7.35,-6.04,6.50,-0.63,12.36,-1.04,8.12,-1.94,9.25,6.36,1.20,0.00,6.05
-0.59,7.87,6.89,-10.47,6.25,-4.12,10.20,-4.13,7.76,-6.22,6.76,-0.97,12.61,-0.52,8.37,-2.08,9.28,6.43,1.05,0.00,5.98
0.07,9.31,7.10,-10.24,6.75,-4.09,10.23,-3.92,8.01,-5.62,7.79,-0.96,12.19,-1.02,8.41,-2.68,8.70,5.69,1.35,0.00,5.39
0.64,10.08,7.30,-9.23,7.42,-3.70,9.11,-3.73,7.99,-4.55,8.43,-0.99,11.93,-1.33,8.72,-2.91,8.94,5.00,1.03,0.00,5.36
0.57,9.81,6.66,-7.59,7.24,-3.11,4.59,-3.29,5.72,-4.38,7.56,-0.60,8.74,-1.84,7.36,-3.47,6.78,3.86,0.71,0.00,4.92
0.46,9.29,6.01,-3.69,7.20,-1.58,0.48,-3.15,2.99,-3.99,6.26,0.64,6.00,-1.63,6.24,-2.97,4.62,3.28,0.48,0.00,4.91
1.11,9.53,6.27,-3.72,7.71,-1.34,-0.80,0.06,2.26,-2.03,5.96,1.67,5.17,0.29,6.33,-2.03,3.64,3.53,0.58,0.00,5.29
2.66,10.75,6.63,-5.23,8.25,-3.06,0.55,4.40,3.22,-0.43,6.44,1.41,5.35,1.07,6.45,-1.68,3.69,3.45,0.22,0.00,5.52
4.13,11.93,6.60,-5.09,8.60,-3.81,2.27,8.09,3.95,0.86,6.93,1.30,5.81,1.25,6.69,-1.11,4.13,3.96,0.27,0.00,5.65
4.06,12.58,6.15,-4.67,8.63,-3.38,3.24,9.20,3.64,1.02,6.59,1.48,5.84,1.00,6.22,-0.45,3.91,4.42,0.15,0.00,5.49
3.33,13.34,6.10,-3.86,9.03,-2.45,5.30,7.93,4.02,0.94,6.65,2.32,6.59,1.98,6.38,0.63,4.90,5.35,0.55,0.00,5.71
2.84,15.46,5.77,-3.35,9.60,-1.76,5.42,4.64,4.14,-0.56,6.70,1.95,5.64,1.35,5.60,0.32,4.06,4.63,0.85,0.00,4.91
